Feature ID,Class,X,Y,Z,Type
BOLT_1,Studs,-2510.45121,330.0203527,-8.43E-08,Center
BOLT_2,Studs,-2655.278457,330.0163364,0.000023484,Center
BOLT_3,Studs,-2655.278481,330.0005202,55.00001894,Center
WP1,Welds,-2641.729357,329.7988689,65.86475208,Center
WP2,Welds,-2667.885823,329.7988689,-73.22834967,Center
WP3,Welds,-2667.885823,329.7988689,73.2283495,Center
WP4,Welds,-2523.177154,329.7988689,-62.69416235,Center
WP5,Welds,-2523.177154,329.7988689,62.69416218,Center
WP6,Welds,-2423.954596,331.2988689,-73.05301332,Center
WP7,Welds,-2641.729357,329.7988689,-65.86475225,Center
WP8,Welds,-2505.863113,331.2988689,73.05301315,Center
WP9,Welds,-2423.954596,331.2988689,73.05301315,Center
WP10,Welds,-2505.863113,331.2988689,-73.05301332,Center
WN_1,BackSideWeldNuts,-2464.9,360.63,87.4,Center
WN_2,BackSideWeldNuts,-2464.9,360.63,-87.41,Center
Hole 1,Holes,-2196.11,328.09,70.39,Center
Hole 2,Holes,-2240.49,328.09,74.23,Center
Hole 3,Holes,-2269.995,328.09,69.995,Center
Hole 4,Holes,-2336.115,328.09,70.39,Center
Hole 5,Holes,-2381.492,328.09,74.725,Center
Hole 6,Holes,-2572.595,328.09,70.39,Center
Hole 7,Holes,-2614.99225,328.09,70.745,Center
Hole 8,Holes,-2655.275,329.79,19.12,Center
Hole 9,Holes,-2655.27,329.79,-19.12,Center
Hole 10,Holes,-2510.45,329.79,19.12,Center
Hole 11,Holes,-2510.45,329.79,-19.12,Center
Hole 12,Holes,-2614.99,328.092,-70.245,Center
Hole 13,Holes,-2572.595,328.346,-70.39,Center
Hole 14,Holes,-2336.115,328.094,-70.39,Center
Hole 15,Holes,-2252.99,328.092,-69.995,Center
